variables,units,values,description
rotorse.rp.powercurve.rated_Omega,rpm,[7.89380484],rotor rotation speed at rated
rotorse.rp.powercurve.rated_pitch,deg,[2.92395773e-18],pitch setting at rated
rotorse.rp.powercurve.rated_T,N,[1045117.14949421],rotor aerodynamic thrust at rated
rotorse.rp.powercurve.rated_Q,N*m,[6702051.96307658],rotor aerodynamic torque at rated
rotorse.rp.powercurve.rated_mech,W,[5540166.20500519],Mechanical shaft power at rated
rotorse.rp.powercurve.ax_induct_regII,,"[0.10726932 0.05284844 0.06866721 0.08681733 0.12775111 0.15418458
 0.13561779 0.23764867 0.28870756 0.29529407 0.30219972 0.30352716
 0.30004968 0.28978781 0.28919756 0.29014839 0.29268954 0.29019935
 0.28576281 0.28156849 0.27122629 0.26560375 0.26654469 0.26987496
 0.26911642 0.25631827 0.24266698 0.2347721  0.23350894 0.29141098]",rotor axial induction at cut-in wind speed along blade span
rotorse.rp.powercurve.tang_induct_regII,,"[-0.10726932 -0.04861824  0.00439445  0.01498352  0.02691589  0.02724857
  0.01832084  0.02319026  0.02106844  0.01741762  0.01455505  0.01227363
  0.01041341  0.00884865  0.00723733  0.00681505  0.0060884   0.00542911
  0.00486074  0.00438319  0.00389936  0.00352428  0.00325398  0.00302185
  0.00280186  0.00253292  0.00227578  0.00208158  0.00198541  0.00207249]",rotor tangential induction at cut-in wind speed along blade span
rotorse.rp.powercurve.aoa_regII,deg,"[47.89700352 38.0768073  25.7028024  18.26937897 12.91908229 10.47138002
 10.87852929  9.06158564  7.98356859  6.76650209  5.67538258  4.83039396
  4.17173558  3.75260101  3.58676922  3.62967397  3.74435192  3.84046582
  3.91656209  4.01731206  4.24851996  4.57530361  5.12534348  5.84453191
  6.61829118  7.3383129   7.95371409  8.48951158  8.74456761  9.01175481]",angle of attack distribution along blade span at cut-in wind speed
rotorse.rp.powercurve.L_D,,"[-3.63394728e-18  3.95663728e-02  1.22211580e+00  2.61578042e+00
  7.67521559e+00  2.12661576e+01  2.44648744e+01  5.98265721e+01
  7.83634676e+01  8.36543096e+01  7.83614350e+01  7.73867098e+01
  7.74040488e+01  7.95788003e+01  8.07980377e+01  8.15589079e+01
  8.35771035e+01  8.61342773e+01  9.01973150e+01  9.56217878e+01
  9.61800406e+01  9.87458010e+01  1.04093385e+02  1.06343979e+02
  1.12522123e+02  1.18303882e+02  1.19851206e+02  1.24034842e+02
  1.17922838e+02  1.06974341e+02]",Lift over drag distribution along blade span at cut-in wind speed
rotorse.rp.powercurve.Cp_regII,,[0.45092496],power coefficient at cut-in wind speed
rotorse.rp.powercurve.cl_regII,,"[-1.81697364e-18  1.97552636e-02  4.76516959e-01  6.71326179e-01
  9.30787812e-01  9.88655088e-01  7.95477785e-01  1.10990192e+00
  1.14545356e+00  1.06551226e+00  9.97948412e-01  9.40160848e-01
  8.84493855e-01  8.43332551e-01  8.25381554e-01  8.29431859e-01
  8.41601060e-01  8.50275203e-01  8.62142391e-01  8.81887158e-01
  8.97144479e-01  9.29716158e-01  9.87084228e-01  1.06516403e+00
  1.15178982e+00  1.22275268e+00  1.30076476e+00  1.39661992e+00
  1.44106274e+00  1.54308170e+00]",lift coefficient distribution along blade span at cut-in wind speed
rotorse.rp.powercurve.cd_regII,,"[0.5        0.49929428 0.38991146 0.2566447  0.12127188 0.0464896
 0.0325151  0.01855199 0.01461719 0.01273709 0.0127352  0.01214887
 0.01142697 0.01059745 0.01021537 0.01016973 0.01006976 0.00987151
 0.0095584  0.00922266 0.00932776 0.00941525 0.00948268 0.01001621
 0.01023612 0.01033569 0.01085316 0.0112599  0.01222039 0.01442478]",drag coefficient distribution along blade span at cut-in wind speed
rotorse.rp.powercurve.rated_efficiency,,[0.9025],Efficiency at rated conditions
rotorse.rp.powercurve.V_spline,m/s,"[ 4.          4.10552764  4.21105528  4.31658291  4.42211055  4.52763819
  4.63316583  4.73869347  4.84422111  4.94974874  5.05527638  5.16080402
  5.26633166  5.3718593   5.47738693  5.58291457  5.68844221  5.79396985
  5.89949749  6.00502513  6.11055276  6.2160804   6.32160804  6.42713568
  6.53266332  6.63819095  6.74371859  6.84924623  6.95477387  7.06030151
  7.16582915  7.27135678  7.37688442  7.48241206  7.5879397   7.69346734
  7.79899497  7.90452261  8.01005025  8.11557789  8.22110553  8.32663317
  8.4321608   8.53768844  8.64321608  8.74874372  8.85427136  8.95979899
  9.06532663  9.17085427  9.27638191  9.38190955  9.48743719  9.59296482
  9.69849246  9.8040201   9.90954774 10.01507538 10.12060302 10.22613065
 10.33165829 10.43718593 10.54271357 10.64824121 10.75376884 10.85929648
 10.96482412 11.07035176 11.1758794  11.28140704 11.38693467 11.49246231
 11.59798995 11.70351759 11.80904523 11.91457286 12.0201005  12.12562814
 12.23115578 12.33668342 12.44221106 12.54773869 12.65326633 12.75879397
 12.86432161 12.96984925 13.07537688 13.18090452 13.28643216 13.3919598
 13.49748744 13.60301508 13.70854271 13.81407035 13.91959799 14.02512563
 14.13065327 14.2361809  14.34170854 14.44723618 14.55276382 14.65829146
 14.7638191  14.86934673 14.97487437 15.08040201 15.18592965 15.29145729
 15.39698492 15.50251256 15.6080402  15.71356784 15.81909548 15.92462312
 16.03015075 16.13567839 16.24120603 16.34673367 16.45226131 16.55778894
 16.66331658 16.76884422 16.87437186 16.9798995  17.08542714 17.19095477
 17.29648241 17.40201005 17.50753769 17.61306533 17.71859296 17.8241206
 17.92964824 18.03517588 18.14070352 18.24623116 18.35175879 18.45728643
 18.56281407 18.66834171 18.77386935 18.87939698 18.98492462 19.09045226
 19.1959799  19.30150754 19.40703518 19.51256281 19.61809045 19.72361809
 19.82914573 19.93467337 20.04020101 20.14572864 20.25125628 20.35678392
 20.46231156 20.5678392  20.67336683 20.77889447 20.88442211 20.98994975
 21.09547739 21.20100503 21.30653266 21.4120603  21.51758794 21.62311558
 21.72864322 21.83417085 21.93969849 22.04522613 22.15075377 22.25628141
 22.36180905 22.46733668 22.57286432 22.67839196 22.7839196  22.88944724
 22.99497487 23.10050251 23.20603015 23.31155779 23.41708543 23.52261307
 23.6281407  23.73366834 23.83919598 23.94472362 24.05025126 24.15577889
 24.26130653 24.36683417 24.47236181 24.57788945 24.68341709 24.78894472
 24.89447236 25.        ]",wind vector
rotorse.rp.powercurve.P_spline,W,"[ 527819.29887653  569013.20881085  613569.07237143  661299.70032097
  712017.90342221  765536.49243787  821668.27813066  880226.07126332
  941022.68259856 1003870.92289911 1068583.60292769 1134973.53344703
 1203259.86012788 1275700.9728046  1352397.1267416  1433015.22752516
 1517222.18074153 1604684.89197699 1695070.26681781 1788045.21085025
 1883276.62966059 1980480.24986454 2081728.24348193 2187885.50662695
 2298428.36964983 2412833.16290083 2530576.21673016 2651133.86148807
 2774027.75441108 2901514.72081686 3034300.43946995 3171280.93149378
 3311352.21801174 3454412.98316176 3603259.54974882 3755561.21795193
 3913024.48356656 4073641.24144043 4238693.54772857 4443280.20327254
 4673672.42547449 4874385.59084867 4989935.07590933 4999996.67049974
 4999995.47313161 4999995.86081292 4999996.4858787  4999997.25590954
 4999998.07848607 4999998.86118889 4999999.51159862 4999999.93729586
 5000000.17303918 5000000.39438029 5000000.60168544 5000000.79201195
 5000000.96241715 5000001.10995836 5000001.2316929  5000001.32467811
 5000001.38597129 5000001.41262979 5000001.39743488 5000001.33433635
 5000001.23198682 5000001.09947903 5000000.94590566 5000000.78035943
 5000000.61193306 5000000.44971923 5000000.30281067 5000000.18030008
 5000000.09128017 5000000.04484364 5000000.05832658 5000000.16609556
 5000000.35762029 5000000.61759886 5000000.93072934 5000001.28170983
 5000001.6552384  5000002.03601313 5000002.4087321  5000002.7580934
 5000003.06879512 5000003.32553532 5000003.51301209 5000003.61592353
 5000003.62708574 5000003.59395144 5000003.52978704 5000003.43807856
 5000003.322312   5000003.18597337 5000003.03254871 5000002.86552401
 5000002.6883853  5000002.5046186  5000002.3177099  5000002.13114524
 5000001.94841063 5000001.77299207 5000001.6083756  5000001.45804721
 5000001.31885475 5000001.16955522 5000001.01044382 5000000.84403244
 5000000.67283294 5000000.4993572  5000000.32611709 5000000.15562449
 4999999.99039127 4999999.8329293  4999999.68575045 4999999.55136661
 4999999.43228964 4999999.33103142 4999999.25010382 4999999.19201871
 4999999.15928797 4999999.15556399 4999999.19652601 4999999.28344816
 4999999.41245162 4999999.57965759 4999999.78118725 5000000.01316181
 5000000.27170245 5000000.55293036 5000000.85296674 5000001.16793278
 5000001.49394968 5000001.82713862 5000002.1636208  5000002.4995174
 5000002.83094963 5000003.15403867 5000003.46490572 5000003.75967197
 5000004.0553425  5000004.38648286 5000004.74830489 5000005.13507804
 5000005.54107179 5000005.96055561 5000006.38779897 5000006.81707134
 5000007.24264219 5000007.658781   5000008.05975723 5000008.43984035
 5000008.79329984 5000009.11440516 5000009.39742579 5000009.6366312
 5000009.82629085 5000009.96067422 5000010.03405079 5000010.04510031
 5000010.03089925 5000010.00215974 5000009.96022254 5000009.90642841
 5000009.84211813 5000009.76863244 5000009.68731214 5000009.59949797
 5000009.50653071 5000009.40975112 5000009.31049997 5000009.21011803
 5000009.10994606 5000009.01132483 5000008.9155951  5000008.82409764
 5000008.73817322 5000008.65916261 5000008.58840657 5000008.5266158
 5000008.46752229 5000008.40921152 5000008.35172097 5000008.29508813
 5000008.23935049 5000008.18454554 5000008.13071077 5000008.07788366
 5000008.0261017  5000007.97540238 5000007.92582319 5000007.87740162
 5000007.83017514 5000007.78418126 5000007.73945746 5000007.69604122
 5000007.65397004 5000007.6132814  5000007.5740128  5000007.53620171]",rotor electrical power
rotorse.rp.powercurve.Omega_spline,rpm,"[3.90046827 4.00337008 4.10627188 4.20917368 4.31207548 4.41497728
 4.51787908 4.62078088 4.72368268 4.82658448 4.92948629 5.03238809
 5.13528989 5.23819169 5.34109349 5.44399529 5.54689709 5.64979889
 5.7527007  5.8556025  5.9585043  6.0614061  6.1643079  6.2672097
 6.3701115  6.4730133  6.57591511 6.67881691 6.78171871 6.88462051
 6.98752231 7.09042411 7.19332591 7.29622771 7.39912951 7.50203725
 7.62036092 7.73700957 7.80565223 7.83846846 7.86502772 7.88375159
 7.89306166 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484 7.89380484
 7.89380484 7.89380484]",omega
rotorse.rp.gust.V_gust,m/s,[18.18002515],gust wind speed
rotorse.rp.cdf.F,m/s,"[0.20020685 0.209702   0.21932723 0.22907501 0.23893779 0.24890799
 0.25897806 0.26914044 0.27938758 0.28971197 0.30010612 0.3105626
 0.32107402 0.33163306 0.34223247 0.35286505 0.36352373 0.37420149
 0.38489144 0.39558676 0.40628078 0.41696693 0.42763876 0.43828996
 0.44891435 0.4595059  0.47005871 0.48056704 0.4910253  0.50142806
 0.51177006 0.52204619 0.53225151 0.54238125 0.55243083 0.56239582
 0.57227198 0.58205524 0.59174171 0.60132768 0.61080961 0.62018417
 0.62944816 0.63859861 0.64763269 0.65654776 0.66534137 0.67401122
 0.68255519 0.69097135 0.69925792 0.70741329 0.71543601 0.7233248
 0.73107854 0.73869625 0.74617713 0.75352049 0.76072582 0.76779275
 0.77472102 0.78151053 0.7881613  0.79467349 0.80104736 0.80728332
 0.81338185 0.81934359 0.82516925 0.83085965 0.83641573 0.84183848
 0.84712902 0.85228853 0.85731828 0.86221962 0.86699395 0.87164277
 0.87616762 0.88057011 0.88485189 0.88901468 0.89306024 0.89699037
 0.90080692 0.90451177 0.90810682 0.91159401 0.91497532 0.91825273
 0.92142824 0.92450388 0.92748168 0.93036368 0.93315194 0.93584852
 0.93845545 0.94097481 0.94340863 0.94575898 0.94802787 0.95021734
 0.95232939 0.95436604 0.95632926 0.95822101 0.96004324 0.96179787
 0.96348681 0.96511193 0.96667509 0.96817811 0.96962278 0.97101089
 0.97234416 0.97362432 0.97485305 0.97603198 0.97716275 0.97824694
 0.9792861  0.98028175 0.98123538 0.98214844 0.98302236 0.98385851
 0.98465825 0.9854229  0.98615375 0.98685205 0.98751901 0.98815582
 0.98876363 0.98934357 0.98989672 0.99042413 0.99092684 0.99140582
 0.99186205 0.99229646 0.99270995 0.99310338 0.99347762 0.99383346
 0.9941717  0.9944931  0.9947984  0.9950883  0.99536348 0.99562461
 0.99587231 0.99610721 0.99632987 0.99654088 0.99674077 0.99693006
 0.99710926 0.99727884 0.99743927 0.99759099 0.99773443 0.99786999
 0.99799806 0.99811902 0.99823321 0.99834099 0.99844268 0.99853859
 0.99862903 0.99871426 0.99879457 0.99887022 0.99894144 0.99900849
 0.99907158 0.99913092 0.99918672 0.99923918 0.99928848 0.99933478
 0.99937827 0.9994191  0.99945741 0.99949335 0.99952706 0.99955867
 0.99958829 0.99961604 0.99964203 0.99966637 0.99968915 0.99971046
 0.9997304  0.99974904 0.99976646 0.99978275 0.99979796 0.99981216
 0.99982542 0.99983779]",magnitude of wind speed at each z location
rotorse.rp.AEP,kW*h,[24557965.09034209],annual energy production
rotorse.stall_check.no_stall_constraint,,"[0.         0.         0.         0.         0.         0.
 0.         0.75014293 0.73829532 0.66196239 0.57384475 0.49008468
 0.43534581 0.3970352  0.3845666  0.38722427 0.39468911 0.40150089
 0.40743832 0.41508215 0.43075453 0.45256352 0.48867525 0.5392328
 0.60004125 0.65482951 0.6962401  0.72633296 0.74964807 0.78962428]","Constraint, ratio between angle of attack plus a margin and stall angle"
rotorse.stall_check.stall_angle_along_span,deg,"[1.00000000e-06 1.00000000e-06 1.00000000e-06 1.51455912e+00
 1.00000000e-06 1.00000000e-06 1.00000000e-06 1.60767679e+01
 1.48746124e+01 1.47512764e+01 1.51150128e+01 1.59741416e+01
 1.64697204e+01 1.70032511e+01 1.71233211e+01 1.71165980e+01
 1.70834208e+01 1.70329732e+01 1.69715266e+01 1.69017149e+01
 1.68235215e+01 1.67348701e+01 1.66237835e+01 1.63988911e+01
 1.60265304e+01 1.57851791e+01 1.57302090e+01 1.58161620e+01
 1.56644914e+01 1.52098198e+01]",Stall angle along blade span
rotorse.rs.aero_gust.loads_r,m,"[  3.           6.44228387   9.88456774  13.32685161  16.76913548
  20.21141935  23.65370322  27.09598709  30.53827096  33.98055483
  37.4228387   40.86512257  44.30740645  47.74969032  52.91311612
  54.63425806  58.07654193  61.5188258   64.96110967  68.40339354
  71.84567741  75.28796128  78.73024515  82.17252902  85.61481289
  89.05709676  92.49938063  95.9416645   97.83492063 102.82623224]",
rotorse.rs.aero_gust.loads_Px,N/m,"[  375.24988821   454.40571593   693.15017974  1116.16949561
  1680.67300254  2203.62536439  2287.53136374  3244.79673698
  3885.01778601  4732.9084459   5798.61434013  7098.03042962
  8647.47810643 10125.3153886  11457.5061535  11742.64162893
 12235.8211919  12585.75707375 12786.17174795 12947.3677491
 12854.3726228  12715.11385146 12440.99614964 11867.97682993
 10949.8429343   9907.38145254  8857.53621538  7609.35789975
  6838.00802917  4255.87071333]",
rotorse.rs.aero_gust.loads_Py,N/m,"[   67.85256747   113.99523341   -66.47701278  -482.39916065
  -994.74276927 -1311.59613596 -1070.33688752 -1502.47554592
 -1660.0354294  -2011.28899868 -2462.29015892 -2977.9515724
 -3523.45434556 -3960.05936675 -4136.27221543 -4129.03563843
 -4090.22064235 -4016.94335116 -3910.24840688 -3799.27111892
 -3628.01174116 -3452.06343568 -3239.52738867 -2952.8838464
 -2577.36301534 -2206.73947143 -1884.74996169 -1555.47344588
 -1370.06440596  -813.74835343]",
rotorse.rs.aero_gust.loads_Pz,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",
rotorse.rs.curvature.s,m,"[  3.           6.44231479   9.88480437  13.3275424   16.77046102
  20.21339465  23.65618323  27.09873027  30.54105696  33.98336257
  37.42580537  40.86841902  44.31115817  47.75416172  52.92028197
  54.64262831  58.08793834  61.533893    64.98150726  68.43078326
  71.88141505  75.33248119  78.7855351   82.2404626   85.69682437
  89.15467166  92.61419876  96.07590295  97.98110623 103.00570981]",cumulative path length along blade
rotorse.rs.tot_loads_gust.Px_af,N/m,"[ 1280.47914528  1338.85796872  1604.54390839  2046.46530095
  2561.4016319   3025.45077322  2985.68480467  3945.92923057
  4593.44849645  5509.39062177  6658.96646939  8043.93885587
  9686.51469111 11278.33918281 12685.14221003 12952.28952873
 13415.73229671 13735.75839613 13907.77809809 14016.2953181
 16041.64989764 13585.89623961 13197.96222488 12494.58546204
 11431.17749845 10274.02609491  9129.77911104  7792.68545816
  6951.53405078  4273.46892963]",total distributed loads in airfoil x-direction
rotorse.rs.tot_loads_gust.Py_af,N/m,"[  538.31390742   573.33458573   428.24471259    72.44413084
  -388.51889844  -708.36006445  -609.24754506 -1061.64952392
 -1257.24484672 -1536.23262792 -1887.78759616 -2283.33011448
 -2686.21257268 -2996.93314165 -3184.22129051 -3219.48469783
 -3276.84687707 -3289.27835082 -3262.62844333 -3236.15188316
 -3100.65116674 -3132.84573015 -3112.14668807 -3042.24679582
 -2853.24328193 -2602.44262523 -2349.17648365 -2041.77088986
 -1845.23286268 -1166.22247245]",total distributed loads in airfoil y-direction
rotorse.rs.tot_loads_gust.Pz_af,N/m,"[-17562.08789861 -10029.1030924   -4745.60071605   -893.60951594
   1668.65811487   3280.17402549   4430.34120811   5298.72712038
   6020.87341755   6709.03347172   7430.09462329   8141.85394112
   8830.13471967   9314.47341034   9896.7856229    9517.03726619
   9344.14019557   8892.069131     8305.05637209   7684.22535837
  24931.24423191   6236.75456916   5439.42313705   4680.08408356
   3836.37574577   3126.95665946   2498.88729617   1872.00391443
   1374.69621317    604.91009551]",total distributed loads in airfoil z-direction
rotorse.rs.frame.root_F,N,[-838573.69686399 -237695.95687572  496643.85308401],Blade root forces in blade c.s.
rotorse.rs.frame.root_M,N*m,[ 12805050.565562   -48568882.50339885        -0.        ],Blade root moment in blade c.s.
rotorse.rs.frame.flap_mode_shapes,,"[[ 1.09977550e-02  1.66693382e+00 -5.10127637e-01 -6.30369338e-01
   4.62565404e-01]
 [-9.16187207e-02 -1.59355189e+00  2.65235946e+00 -2.32671021e+00
   2.35952136e+00]
 [ 1.05431424e+00 -4.95932224e+00  2.34527454e+01 -4.65946296e+01
   2.80468921e+01]
 [ 3.41923029e+01 -2.50457126e+02  6.41928817e+02 -6.92013256e+02
   2.67349262e+02]
 [ 1.64860321e+01 -1.44289474e+02  4.16031530e+02 -4.86469330e+02
   1.99241242e+02]]","6-degree polynomial coefficients of mode shapes in the flap direction (x^2..x^6, no linear or constant term)"
rotorse.rs.frame.edge_mode_shapes,,"[[  0.37775351   3.88206982  -7.91869521   6.5976799   -1.93880802]
 [ -0.32551637  -4.86967591  15.73910793 -16.61700286   7.07308721]
 [  2.61171285  -9.30776137  17.5190475  -24.67807079  14.8550718 ]
 [ -1.78562685  29.71284896 -92.75285988 100.11282258 -34.28718481]
 [ -7.31642787  29.59514148 -20.39649604 -31.67198632  30.78976875]]","6-degree polynomial coefficients of mode shapes in the edge direction (x^2..x^6, no linear or constant term)"
rotorse.rs.frame.all_mode_shapes,,"[[ 1.09977550e-02  1.66693382e+00 -5.10127637e-01 -6.30369338e-01
   4.62565404e-01]
 [ 3.77753515e-01  3.88206982e+00 -7.91869521e+00  6.59767990e+00
  -1.93880802e+00]
 [-9.16187207e-02 -1.59355189e+00  2.65235946e+00 -2.32671021e+00
   2.35952136e+00]
 [-3.25516366e-01 -4.86967591e+00  1.57391079e+01 -1.66170029e+01
   7.07308721e+00]
 [ 1.05431424e+00 -4.95932224e+00  2.34527454e+01 -4.65946296e+01
   2.80468921e+01]
 [ 2.61171285e+00 -9.30776137e+00  1.75190475e+01 -2.46780708e+01
   1.48550718e+01]
 [ 3.41923029e+01 -2.50457126e+02  6.41928817e+02 -6.92013256e+02
   2.67349262e+02]
 [-1.78562685e+00  2.97128490e+01 -9.27528599e+01  1.00112823e+02
  -3.42871848e+01]
 [ 1.64860321e+01 -1.44289474e+02  4.16031530e+02 -4.86469330e+02
   1.99241242e+02]
 [-7.31642787e+00  2.95951415e+01 -2.03964960e+01 -3.16719863e+01
   3.07897688e+01]]","6-degree polynomial coefficients of mode shapes in the edge direction (x^2..x^6, no linear or constant term)"
rotorse.rs.frame.flap_mode_freqs,Hz,[ 0.58632215  1.66182337  3.30104205  7.28158492 10.27430004],Frequencies associated with mode shapes in the flap direction
rotorse.rs.frame.edge_mode_freqs,Hz,[0.89112268 2.70008145 4.71050119 5.71595468 9.68433835],Frequencies associated with mode shapes in the edge direction
rotorse.rs.frame.freqs,Hz,"[ 0.58632215  0.89112268  1.66182337  2.70008145  3.30104205  4.71050119
  5.71595468  7.28158492  9.68433835 10.27430004]","ration of 2nd and 1st natural frequencies, should be ratio of edgewise to flapwise"
rotorse.rs.frame.freq_distance,,[1.51985165],"ration of 2nd and 1st natural frequencies, should be ratio of edgewise to flapwise"
rotorse.rs.frame.dx,m,"[-0.00000000e+00  3.67515613e-03  1.48225299e-02  3.45968202e-02
  6.62221629e-02  1.15036749e-01  1.86960520e-01  2.87022151e-01
  4.19463692e-01  5.87717118e-01  7.93764921e-01  1.03857351e+00
  1.32281851e+00  1.64731519e+00  2.21358076e+00  2.42348580e+00
  2.87979976e+00  3.38724929e+00  3.94979347e+00  4.57161294e+00
  5.24990581e+00  5.98271488e+00  6.78336087e+00  7.66531364e+00
  8.63695099e+00  9.70956479e+00  1.08954101e+01  1.22035451e+01
  1.29737301e+01  1.51717190e+01]",deflection of blade section in airfoil x-direction
